Name,Mana Cost,Types,Power,Toughness,Text,Rarity,Color,Faction,
Hothead Infantry,W,Creature - Elemental,1,1,First Strike; Sacrifice ~ to put a First Strike counter on target creature; Conjuration 1,C,White,Arcanum,
Mycotoxin Soldier,1W,Creature - Fungus,1,1,Sporeborn; Toxic 1,C,White,Shroomin,
Elder Mycoloth,5W,Creature - Fungus,0,0,CITP with 5 +1/+1 counters,C,White,Shroomin,
Volatile Burster,1W,Creature - Fungus,3,1,Sporeborn;,C,White,Shroomin,
Toxin Squad,3W,Creature - Fungus,3,3,Sporeborn,C,White,Shroomin,
Formic Gatherer,W,Creature - Insect,1,1,Flying,C,White,Hive Courts,
Chitin Squire,W,Creature - Insect,2,1,Armor 1,C,White,Hive Courts,
Vitality Sprite,1W,Creature - Elemental,2,2,Lifelink; Flying,C,White,Arcanum,
Stag Knight,2W,Creature - Insect Knight,3,3,,C,White,Hive Courts,
Armored Oathsworn,1WW,Creature - Insect Knight,3,3,Armor 1,C,White,Hive Courts,
Winged Oathsworn,1WW,Creature - Insect Knight,3,3,Flying,C,White,Hive Courts,
Disenchant,1W,Instant,,,Destroy target artifact or enchantment,C,White,Neutral,
Hive Guard,1W,Creature - Insect Soldier,2,2,,C,White,Hive Courts,
Formic Squire,1W,Creature - Insect Knight,2,2,Flying,C,White,Hive Courts,
Formic Strike,2W,Instant,,,"Create X 1/1 Insect Soldier tokens with Flying, where X is the number of attacking creatures",C,White,Hive Courts,
Surprise Attack,3W,Instant,,,"Deal X+2 damage to target attacking or blocking creature, where X is the number of creatures you control.  This costs Y less, where Y is the greatest power among creatures you control",C,White,Hive Courts,
Hymn of Endurance,W,Enchantment,,,Gain X life each of your upkeeps,C,White,Arcanum,
Restore Vitality,W,Instant,,,Prevent 3 damage or gain 3 life; Retrace,U,White,FCP,
Hive Herald,W,Creature - Insect,1,1,Flying; Other Insects you control get +1/+1,U,White,Hive Courts,
Spore Herald,W,Creature - Fungus,1,1,Sporeborn; Other Fungus creatures you control get +1/+1,U,White,Shroomin,
